block,job_id,fixture,p,pub_index,policy,status,reason,selected,selected_feasible,selected_utility,strict_improvement_field,independent_strict_improvement,outcome,is_optimum,evidence_type,sample_origin
1,dagjoc8mhr3c73e58uk0,D1,2,0,P0,accept,UNGUARDED_MODAL,100110,True,21.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,2,0,P1,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,2,0,P2,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,2,0,P3,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,1,1,P0,accept,UNGUARDED_MODAL,110000,False,9.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,1,1,P1,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,1,1,P2,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,1,1,P3,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,1,2,P0,accept,UNGUARDED_MODAL,100100,False,11.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,1,2,P1,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,1,2,P2,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D1,1,2,P3,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,1,3,P0,accept,UNGUARDED_MODAL,101100,True,20.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,1,3,P1,accept,ELIGIBLE_CANDIDATE,001101,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,1,3,P2,accept,ELIGIBLE_CANDIDATE,001101,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,1,3,P3,accept,ELIGIBLE_CANDIDATE,001101,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,1,4,P0,accept,UNGUARDED_MODAL,101000,False,8.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,1,4,P1,accept,ELIGIBLE_CANDIDATE,010110,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,1,4,P2,accept,ELIGIBLE_CANDIDATE,010110,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,1,4,P3,accept,ELIGIBLE_CANDIDATE,010110,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,2,5,P0,accept,UNGUARDED_MODAL,110011,False,28.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,2,5,P1,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,2,5,P2,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D4,2,5,P3,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,2,6,P0,accept,UNGUARDED_MODAL,101001,True,19.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,2,6,P1,accept,ELIGIBLE_CANDIDATE,010110,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,2,6,P2,accept,ELIGIBLE_CANDIDATE,010110,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D5,2,6,P3,accept,ELIGIBLE_CANDIDATE,010110,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,1,7,P0,accept,UNGUARDED_MODAL,100100,False,12.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,1,7,P1,accept,ELIGIBLE_CANDIDATE,110010,True,22.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,1,7,P2,accept,ELIGIBLE_CANDIDATE,110010,True,22.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,1,7,P3,accept,ELIGIBLE_CANDIDATE,110010,True,22.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,1,8,P0,accept,UNGUARDED_MODAL,110100,True,22.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,1,8,P1,accept,ELIGIBLE_CANDIDATE,011100,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,1,8,P2,accept,ELIGIBLE_CANDIDATE,011100,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,1,8,P3,accept,ELIGIBLE_CANDIDATE,011100,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,2,9,P0,accept,UNGUARDED_MODAL,101010,True,21.0,,False,equal_incumbent,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,2,9,P1,accept,ELIGIBLE_CANDIDATE,001101,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,2,9,P2,accept,ELIGIBLE_CANDIDATE,001101,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D3,2,9,P3,accept,ELIGIBLE_CANDIDATE,001101,True,23.0,True,True,improved,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,2,10,P0,accept,UNGUARDED_MODAL,010010,False,15.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,2,10,P1,accept,ELIGIBLE_CANDIDATE,110010,True,22.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,2,10,P2,accept,ELIGIBLE_CANDIDATE,110010,True,22.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D6,2,10,P3,accept,ELIGIBLE_CANDIDATE,110010,True,22.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,2,11,P0,accept,UNGUARDED_MODAL,001110,True,20.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,2,11,P1,accept,ELIGIBLE_CANDIDATE,011100,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,2,11,P2,accept,ELIGIBLE_CANDIDATE,011100,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
1,dagjoc8mhr3c73e58uk0,D2,2,11,P3,accept,ELIGIBLE_CANDIDATE,011100,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,2,0,P0,accept,UNGUARDED_MODAL,111001,False,27.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,2,0,P1,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,2,0,P2,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,2,0,P3,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D4,1,1,P0,accept,UNGUARDED_MODAL,101000,False,14.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D4,1,1,P1,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D4,1,1,P2,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D4,1,1,P3,accept,ELIGIBLE_CANDIDATE,101010,True,24.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,1,2,P0,accept,UNGUARDED_MODAL,101000,False,10.0,,False,accepted_unguarded,False,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,1,2,P1,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,1,2,P2,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
2,dagjstomhr3c73e5936g,D1,1,2,P3,accept,ELIGIBLE_CANDIDATE,011001,True,23.0,False,False,equal_incumbent,True,decision_hardware,decision_hardware
